Entry	Entry Name	Gene Names	Protein names	Organism	Length	Subcellular location [CC]	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)
P02920	LACY_ECOLI	lacY b0343 JW0334	Lactose permease (Lactose-proton symport)	Escherichia coli (strain K12)	417	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2164211, ECO:0000269|PubMed:7000781, ECO:0000269|PubMed:7028742}; Multi-pass membrane protein {ECO:0000269|PubMed:2164211}.	3D-structure;Cell inner membrane;Cell membrane;Formylation;Membrane;Reference proteome;Sugar transport;Symport;Transmembrane;Transmembrane helix;Transport	carbohydrate transport [GO:0008643]; lactose transport [GO:0015767]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P02921	MELB_ECOLI	melB mel-4 b4120 JW4081	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	Escherichia coli (strain K12)	473	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:1730719, ECO:0000269|PubMed:7703254, ECO:0000269|PubMed:8672452}; Multi-pass membrane protein {ECO:0000269|PubMed:1730719, ECO:0000269|PubMed:8672452}.	Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Sugar transport;Symport;Transmembrane;Transmembrane helix;Transport	melibiose transport [GO:0015769]; methylgalactoside transport [GO:0015765]; transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]
P02925	RBSB_ECOLI	rbsB prlB rbsP b3751 JW3730	Ribose import binding protein RbsB	Escherichia coli (strain K12)	296	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1583688}.	3D-structure;Chemotaxis;Direct protein sequencing;Periplasm;Reference proteome;Signal;Sugar transport;Transport	D-ribose transmembrane transport [GO:0015752]; positive chemotaxis [GO:0050918]; transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]
P02929	TONB_ECOLI	tonB exbA b1252 JW5195	Protein TonB	Escherichia coli (strain K12)	239	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein; Periplasmic side.	3D-structure;Bacteriocin transport;Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Repeat;Signal-anchor;Transmembrane;Transmembrane helix;Transport	cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; intracellular iron ion homeostasis [GO:0006879]; intracellular monoatomic cation homeostasis [GO:0030003]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	cell envelope [GO:0030313]; cell outer membrane [GO:0009279]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; transmembrane transporter complex [GO:1902495]
P02930	TOLC_ECOLI	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	Escherichia coli (strain K12)	493	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21778229, ECO:0000269|PubMed:6337123, ECO:0000269|PubMed:9044294}; Multi-pass membrane protein {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21778229, ECO:0000269|PubMed:6337123, ECO:0000269|PubMed:9044294}.	3D-structure;Antibiotic resistance;Cell outer membrane;Direct protein sequencing;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane beta strand;Transport	bile acid and bile salt transport [GO:0015721]; enterobactin transport [GO:0042930]; monoatomic ion transmembrane transport [GO:0034220]; response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; xenobiotic detoxification by transmembrane export across the cell outer membrane [GO:0140330]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	cell outer membrane [GO:0009279]; efflux pump complex [GO:1990281]; MacAB-TolC complex [GO:1990196]; membrane [GO:0016020]; periplasmic side of plasma membrane [GO:0098567]
P02931	OMPF_ECOLI	ompF cmlB coa cry tolF b0929 JW0912	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	Escherichia coli (strain K12)	362	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:2464593}; Multi-pass membrane protein {ECO:0000269|PubMed:16079137}.	3D-structure;Cell outer membrane;Direct protein sequencing;Ion transport;Membrane;Porin;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	monoatomic ion transmembrane transport [GO:0034220]; protein homotrimerization [GO:0070207]; protein transport [GO:0015031]	cell outer membrane [GO:0009279]; membrane [GO:0016020]; monoatomic ion channel complex [GO:0034702]; pore complex [GO:0046930]
P02942	MCP1_ECOLI	tsr cheD b4355 JW4318	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)	Escherichia coli (strain K12)	551	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}. Note=Found predominantly at cell poles.	3D-structure;Cell inner membrane;Cell membrane;Chemotaxis;Direct protein sequencing;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell motility [GO:0048870]; cellular response to amino acid stimulus [GO:0071230]; chemotaxis [GO:0006935]; detection of chemical stimulus [GO:0009593]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]; signal transduction [GO:0007165]	methyl accepting chemotaxis protein complex [GO:0098561]; plasma membrane [GO:0005886]
P02943	LAMB_ECOLI	lamB malB b4036 JW3996	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)	Escherichia coli (strain K12)	446	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_01301, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:1988451, ECO:0000269|PubMed:4201774, ECO:0000269|Ref.9}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01301, ECO:0000269|PubMed:16079137}.	3D-structure;Cell outer membrane;Direct protein sequencing;Disulfide bond;Host cell receptor for virus entry;Host-virus interaction;Ion transport;Membrane;Porin;Receptor;Reference proteome;Signal;Sugar transport;Transmembrane;Transmembrane beta strand;Transport	DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transmembrane transport [GO:1904981]; monoatomic ion transport [GO:0006811]; polysaccharide transport [GO:0015774]	cell outer membrane [GO:0009279]; outer membrane protein complex [GO:0106234]; pore complex [GO:0046930]
P03004	DNAA_ECOLI	dnaA b3702 JW3679	Chromosomal replication initiator protein DnaA (EC 3.6.4.-)	Escherichia coli (strain K12)	467	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00377, ECO:0000269|PubMed:22574163}. Cytoplasm, nucleoid {ECO:0000269|PubMed:22574163, ECO:0000269|PubMed:28166228}. Cell inner membrane {ECO:0000269|PubMed:22574163, ECO:0000269|PubMed:9478970}; Peripheral membrane protein {ECO:0000269|PubMed:22574163}. Note=About 10% of the protein associates with the cell inner membrane (shown in strain BL21(DE3)) (PubMed:22574163). 70% of the protein oscillates between opposite cell halves in a time frame of a few seconds, independent of transcription (PubMed:28166228). {ECO:0000269|PubMed:22574163, ECO:0000269|PubMed:28166228}.	3D-structure;Acetylation;ATP-binding;Cell inner membrane;Cell membrane;Cytoplasm;DNA replication;DNA-binding;Hydrolase;Lipid-binding;Membrane;Nucleotide-binding;Reference proteome;Repressor;Transcription;Transcription regulation	DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; negative regulation of DNA-templated DNA replication initiation [GO:0032297]; positive regulation of DNA-templated DNA replication initiation [GO:0032298]; regulation of DNA replication [GO:0006275]; regulation of DNA-templated DNA replication initiation [GO:0030174]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; DnaA-DiaA complex [GO:1990102]; DnaA-Dps complex [GO:1990084]; DnaA-HU complex [GO:1990103]; DnaA-L2 complex [GO:1990082]; DnaA-oriC complex [GO:1990101]; nucleoid [GO:0009295]; plasma membrane [GO:0005886]; replication inhibiting complex [GO:1990078]
P03007	DPO3E_ECOLI	dnaQ mutD b0215 JW0205	DNA polymerase III subunit epsilon (EC 2.7.7.7)	Escherichia coli (strain K12)	243		3D-structure;DNA replication;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Magnesium;Manganese;Metal-binding;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase	DNA replication proofreading [GO:0045004]; DNA-templated DNA replication [GO:0006261]; lagging strand elongation [GO:0006273]; leading strand elongation [GO:0006272]	cytosol [GO:0005829]; DNA polymerase III complex [GO:0009360]; DNA polymerase III, core complex [GO:0044776]; replisome [GO:0030894]
P03018	UVRD_ECOLI	uvrD mutU pdeB rad recL b3813 JW3786	DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II)	Escherichia coli (strain K12)	720		3D-structure;ATP-binding;Direct protein sequencing;DNA damage;DNA repair;DNA replication;DNA-binding;Helicase;Hydrolase;Isomerase;Nucleotide-binding;Reference proteome;SOS response	mismatch repair [GO:0006298]; mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication [GO:0070716]; nucleotide-excision repair [GO:0006289]; recombinational repair [GO:0000725]; replication fork processing [GO:0031297]; response to radiation [GO:0009314]; rolling circle DNA replication [GO:0070581]; SOS response [GO:0009432]	cytosol [GO:0005829]; DNA helicase complex [GO:0033202]; single-stranded DNA-dependent ATP-dependent DNA helicase complex [GO:0017117]
P03023	LACI_ECOLI	lacI b0345 JW0336	Lactose operon repressor	Escherichia coli (strain K12)	360		3D-structure;Direct protein sequencing;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]
P03819	KEFC_ECOLI	kefC trkC b0047 JW0046	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	Escherichia coli (strain K12)	620	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2046548}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2046548}.	3D-structure;Antiport;Cell inner membrane;Cell membrane;Ion transport;Membrane;Nucleotide-binding;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	intracellular pH elevation [GO:0051454]; potassium ion transport [GO:0006813]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]; regulation of pH [GO:0006885]; response to hydrogen peroxide [GO:0042542]; response to methylglyoxal [GO:0051595]; response to toxic substance [GO:0009636]	membrane [GO:0016020]; plasma membrane [GO:0005886]; potassium:proton antiporter complex [GO:1903103]
P03959	KDPA_ECOLI	kdpA b0698 JW0686	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	Escherichia coli (strain K12)	557	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00275, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:7896809}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00275, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:7896809}.	3D-structure;Cell inner membrane;Cell membrane;Ion transport;Membrane;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	monoatomic cation transmembrane transport [GO:0098655]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]	plasma membrane [GO:0005886]; potassium ion-transporting ATPase complex [GO:0031004]; potassium:proton antiporter complex [GO:1903103]
P03960	KDPB_ECOLI	kdpB b0697 JW0685	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	Escherichia coli (strain K12)	682	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00285, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00285, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}.	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Potassium;Potassium transport;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	monoatomic cation transmembrane transport [GO:0098655]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]	plasma membrane [GO:0005886]; potassium ion-transporting ATPase complex [GO:0031004]; potassium:proton antiporter complex [GO:1903103]
P03961	KDPC_ECOLI	kdpC b0696 JW0684	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	Escherichia coli (strain K12)	190	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00276, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00276, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}.	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Membrane;Nucleotide-binding;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	monoatomic cation transmembrane transport [GO:0098655]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]	plasma membrane [GO:0005886]; potassium ion-transporting ATPase complex [GO:0031004]; potassium:proton antiporter complex [GO:1903103]
P04036	DAPB_ECOLI	dapB b0031 JW0029	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	Escherichia coli (strain K12)	273	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Direct protein sequencing;Lysine biosynthesis;NAD;NADP;Oxidoreductase;Reference proteome	amino acid biosynthetic process [GO:0008652]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]
P04079	GUAA_ECOLI	guaA b2507 JW2491	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	Escherichia coli (strain K12)	525		3D-structure;ATP-binding;Direct protein sequencing;Glutamine amidotransferase;GMP biosynthesis;Ligase;Nucleotide-binding;Purine biosynthesis;Reference proteome	GMP biosynthetic process [GO:0006177]	cytosol [GO:0005829]
P04152	UMUC_ECOLI	umuC b1184 JW1173	Protein UmuC (DNA polymerase V) (Pol V)	Escherichia coli (strain K12)	422		DNA damage;DNA repair;Reference proteome;SOS mutagenesis;SOS response	DNA damage response [GO:0006974]; DNA repair [GO:0006281]; error-prone translesion synthesis [GO:0042276]; SOS response [GO:0009432]; translesion synthesis [GO:0019985]	cytosol [GO:0005829]; DNA polymerase V complex [GO:0009355]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P04391	OTC1_ECOLI	argI b4254 JW4211	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	Escherichia coli (strain K12)	334	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	3D-structure;Allosteric enzyme;Amino-acid biosynthesis;Arginine biosynthesis;Cytoplasm;Direct protein sequencing;Metal-binding;Reference proteome;Transferase;Zinc	citrulline biosynthetic process [GO:0019240]; L-arginine biosynthetic process via ornithine [GO:0042450]	cytoplasm [GO:0005737]
P04395	3MG2_ECOLI	alkA aidA b2068 JW2053	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	Escherichia coli (strain K12)	282		3D-structure;Direct protein sequencing;DNA damage;DNA repair;Hydrolase;Reference proteome	base-excision repair [GO:0006284]; base-excision repair, AP site formation [GO:0006285]; DNA alkylation repair [GO:0006307]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]	cytoplasm [GO:0005737]
P04425	GSHB_ECOLI	gshB gsh-II b2947 JW2914	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	Escherichia coli (strain K12)	316		3D-structure;ATP-binding;Direct protein sequencing;Glutathione biosynthesis;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Reference proteome	glutathione biosynthetic process [GO:0006750]; protein homotetramerization [GO:0051289]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P04693	TYRB_ECOLI	tyrB b4054 JW4014	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)	Escherichia coli (strain K12)	397	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Amino-acid biosynthesis;Aminotransferase;Aromatic amino acid biosynthesis;Cytoplasm;Pyridoxal phosphate;Reference proteome;Transferase	aspartate biosynthetic process [GO:0006532]; L-leucine biosynthetic process [GO:0009098]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]; L-tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate [GO:0019292]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P04805	SYE_ECOLI	gltX b2400 JW2395	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	Escherichia coli (strain K12)	471	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00022}.	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Metal-binding;Nucleotide-binding;Phosphoprotein;Protein biosynthesis;Reference proteome;Zinc	glutamyl-tRNA aminoacylation [GO:0006424]	cytosol [GO:0005829]
