uniprot_accession	domain_index	domain_start	domain_end	domain_length	cath_superfamily	domain_frac_helix	domain_frac_strand	domain_frac_coil	domain_mean_plddt	domain_min_plddt	domain_frac_plddt_gt70	domain_frac_plddt_gt90
P55084	1	44	471	428	3.40.47.10	0.4065	0.2033	0.3902	96.27	71.5	1.0	0.9206
P55211	1	1	105	105	1.10.533.10	0.6667	0.0	0.3333	83.9	25.19	0.9048	0.3524
P55211	2	141	416	276	3.40.50.1460	0.2609	0.2174	0.5217	85.6	27.61	0.8478	0.6667
P55789	1	81	205	125	1.20.120.310	0.664	0.0	0.336	94.81	58.22	0.928	0.888
P55809	1	40	272	233	3.40.1080.10	0.2446	0.3391	0.4163	97.75	76.44	1.0	0.9828
P55809	2	299	513	215	3.40.1080.10	0.1674	0.3256	0.507	96.72	60.28	0.9953	0.9535
P55851	1	13	307	295	1.50.40.10	0.7966	0.0	0.2034	63.5	33.78	0.1593	0.0
P55916	1	13	310	298	1.50.40.10	0.8054	0.0	0.1946	63.49	36.84	0.1678	0.0
P55957	1	1	195	195	1.10.437.10	0.6462	0.0	0.3538	62.97	32.72	0.3641	0.0
P56277	1	1	68	68	1.10.287.1130	0.7059	0.0	0.2941	86.32	41.25	0.8971	0.5441
P56381	1	2	51	50	1.10.1620.20	0.54	0.0	0.46	86.43	61.78	0.96	0.54
P56962	1	158	228	71	1.20.5.110	0.507	0.0	0.493	71.24	43.16	0.5211	0.338
P57105	1	1	112	112	2.30.42.10	0.1339	0.3929	0.4732	85.3	36.81	0.8125	0.7143
P58557	1	9	157	149	3.40.390.30	0.4966	0.1342	0.3691	97.06	91.31	1.0	1.0
P60716	1	82	298	217	3.20.20.70	0.3825	0.1797	0.4378	96.26	72.06	1.0	0.9447
P61517	1	1	220	220	3.40.1050.10	0.5727	0.1364	0.2909	94.76	49.22	0.9727	0.8818
P61604	1	1	102	102	2.30.33.40	0.098	0.3529	0.549	87.63	36.41	0.9412	0.6078
P62072	1	1	90	90	1.10.287.810	0.8111	0.0	0.1889	93.39	53.66	0.9444	0.8889
P62244	1	1	69	69	3.30.1370.30	0.3768	0.2464	0.3768	92.66	54.38	0.9855	0.8551
P62244	2	70	130	61	3.30.1490.10	0.2295	0.3934	0.377	93.53	87.44	1.0	0.9672
P62269	1	1	80	80	1.10.8.50	0.4	0.125	0.475	90.02	45.69	0.9375	0.8
P62269	2	92	143	52	4.10.910.10	0.4615	0.0192	0.5192	90.21	73.88	1.0	0.6538
P62593	1	25	286	262	3.40.710.10	0.4427	0.1718	0.3855	98.46	76.62	1.0	0.9962
P62707	1	2	250	249	3.40.50.1240	0.4659	0.1406	0.3936	96.05	51.28	0.9839	0.9277
P63020	1	1	98	98	2.60.300.12	0.1531	0.3673	0.4796	89.81	61.44	0.9592	0.6531
P63020	2	101	188	88	3.30.300.130	0.5	0.2273	0.2727	80.99	43.75	0.7727	0.375
P64530	1	1	90	90	1.20.58.1000	0.8556	0.0	0.1444	93.57	62.94	0.9778	0.8778
P64588	1	52	154	103	1.10.10.10	0.5728	0.1165	0.3107	93.31	46.84	0.9709	0.8447
P68767	1	1	180	180	3.40.220.10	0.4167	0.1944	0.3889	94.09	75.62	1.0	0.8778
P68767	2	181	498	318	3.40.630.10	0.4057	0.2107	0.3836	98.03	84.81	1.0	0.9937
P69408	1	148	207	60	1.10.10.10	0.7167	0.0	0.2833	90.87	54.22	0.9667	0.6833
P69408	2	1	147	147	3.40.50.2300	0.4286	0.1905	0.381	90.53	54.25	0.9388	0.6735
P69776	1	22	77	56	1.20.5.190	0.9821	0.0	0.0179	93.54	69.62	0.9821	0.8214
P69783	1	9	169	161	2.70.70.10	0.1304	0.4286	0.441	94.72	43.75	0.9379	0.9317
P69908	1	66	359	294	3.40.640.10	0.4286	0.1701	0.4014	97.91	66.25	0.9932	0.9694
P69908	2	360	466	107	3.90.1150.160	0.3271	0.215	0.4579	97.78	64.06	0.9907	0.9813
P69908	3	1	65	65	4.10.280.50	0.2769	0.0769	0.6462	84.91	41.41	0.8	0.5538
P75736	1	1	253	253	3.40.50.1820	0.415	0.1502	0.4348	98.1	92.5	1.0	1.0
P75821	1	1	335	335	3.40.50.720	0.4627	0.1821	0.3552	93.71	55.5	0.991	0.8537
P75823	1	1	244	244	3.40.640.10	0.4303	0.1762	0.3934	98.75	94.5	1.0	1.0
P75823	2	245	333	89	3.90.1150.10	0.4944	0.2022	0.3034	98.39	87.31	1.0	0.9888
P75849	1	1	210	210	3.60.15.10	0.3	0.281	0.419	98.21	77.0	1.0	0.9952
P75864	1	6	246	241	3.30.2130.30	0.3485	0.2033	0.4481	94.85	51.66	0.9793	0.9253
P75864	2	392	483	92	3.30.750.80	0.4674	0.25	0.2826	90.4	54.94	0.9783	0.6413
P75864	3	160	372	213	3.40.50.150	0.3944	0.1549	0.4507	93.15	51.66	0.9577	0.8498
P75864	4	484	702	219	3.40.50.150	0.3014	0.2785	0.4201	91.54	28.62	0.9361	0.8265
P75949	1	1	341	341	3.20.20.300	0.4839	0.1408	0.3754	95.82	54.88	0.9648	0.9208
P76085	1	328	435	108	3.30.300.30	0.287	0.3426	0.3704	83.89	34.19	0.9167	0.3611
P76085	2	1	327	327	3.40.50.12780	0.37	0.2141	0.4159	94.12	36.88	0.9694	0.841
P76116	1	31	353	323	2.130.10.10	0.0279	0.5356	0.4365	96.84	50.78	0.9938	0.9721
P76143	1	1	291	291	3.20.20.70	0.3986	0.1443	0.457	96.32	44.81	0.9691	0.9381
P76187	1	1	298	298	3.20.20.100	0.4765	0.1611	0.3624	98.29	83.12	1.0	0.9966
P76250	1	6	90	85	1.10.10.10	0.7294	0.0706	0.2	88.28	58.44	0.9294	0.6353
P76250	2	91	296	206	3.40.190.290	0.3544	0.3204	0.3252	93.11	63.0	0.9806	0.8107
P76344	1	24	216	193	2.40.128.20	0.2902	0.2902	0.4197	95.81	38.0	0.9689	0.943
P76550	1	22	82	61	1.10.260.40	0.4754	0.0984	0.4262	80.3	36.97	0.9016	0.0
P77333	1	5	91	87	1.10.10.10	0.7011	0.069	0.2299	86.19	59.0	0.8851	0.6092
P77333	2	92	296	205	3.40.190.290	0.3073	0.322	0.3707	90.71	51.56	0.9171	0.7415
P77395	1	113	196	84	1.25.40.10	0.8095	0.0	0.1905	95.25	88.0	1.0	0.9643
P77395	2	197	284	88	1.25.40.10	0.7841	0.0	0.2159	94.83	81.25	1.0	0.9318
P77395	3	1	112	112	3.40.30.10	0.3304	0.25	0.4196	92.38	30.98	0.9732	0.9107
P77444	1	43	302	260	3.40.640.10	0.4269	0.1885	0.3846	98.06	70.0	0.9962	0.9846
P77444	2	10	396	387	3.90.1150.10	0.4186	0.1938	0.3876	98.24	70.0	0.9974	0.9897
P77475	1	18	87	70	1.10.150.240	0.7286	0.0143	0.2571	91.72	68.94	0.9857	0.7714
P77475	2	8	183	176	3.40.50.1000	0.5455	0.1307	0.3239	95.08	68.94	0.9943	0.9091
P77581	1	57	302	246	3.40.640.10	0.4146	0.1545	0.4309	98.4	93.56	1.0	1.0
P77581	2	27	389	363	3.90.1150.10	0.416	0.1983	0.3857	98.37	93.56	1.0	1.0
P77730	1	2	97	96	1.10.10.10	0.4479	0.1354	0.4167	85.08	39.84	0.9062	0.4896
P77730	2	140	359	220	3.40.640.10	0.4364	0.1864	0.3773	96.55	84.44	1.0	0.9591
P77730	3	98	464	367	3.90.1150.10	0.4632	0.158	0.3787	95.11	72.12	1.0	0.9128
P77735	1	1	322	322	3.20.20.100	0.4907	0.1522	0.3571	95.23	62.34	0.9814	0.8882
P77739	1	1	92	92	3.30.200.20	0.337	0.3804	0.2826	95.06	60.09	0.9674	0.9348
P77739	2	98	285	188	3.90.1200.10	0.516	0.1117	0.3723	96.07	81.5	1.0	0.9362
P78540	1	21	341	321	3.40.800.10	0.4174	0.1682	0.4143	97.36	51.22	0.9938	0.9502
P78549	1	221	303	83	1.10.1670.10	0.4819	0.0	0.5181	96.18	72.81	1.0	0.9759
P78549	2	112	220	109	1.10.340.30	0.6881	0.0	0.3119	97.33	91.81	1.0	1.0
P80404	1	109	409	301	3.40.640.10	0.4419	0.113	0.4452	98.44	92.88	1.0	1.0
P80404	2	48	489	442	3.90.1150.10	0.4186	0.1584	0.4231	98.46	92.88	1.0	1.0
P82663	1	9	127	119	3.40.30.10	0.4202	0.2269	0.3529	93.68	78.81	1.0	0.8908
P82664	1	74	176	103	3.30.70.600	0.2913	0.466	0.2427	96.97	84.88	1.0	0.9903
P82675	1	212	279	68	3.30.160.20	0.1912	0.5441	0.2647	96.18	87.69	1.0	0.9853
P82675	2	284	375	92	3.30.230.10	0.337	0.2826	0.3804	96.47	92.19	1.0	1.0
P82912	1	59	194	136	3.30.420.80	0.2647	0.2647	0.4706	96.2	87.06	1.0	0.9485
P82914	1	98	188	91	1.10.287.10	0.7912	0.0	0.2088	95.38	89.5	1.0	0.989
P82921	1	24	59	36	1.20.5.1150	0.8056	0.0	0.1944	97.89	96.81	1.0	1.0
P82932	1	1	124	124	3.30.70.60	0.2661	0.4032	0.3306	92.99	65.62	0.9758	0.8226
P82933	1	262	396	135	3.30.230.10	0.3185	0.2222	0.4593	94.8	87.0	1.0	0.9407
P83111	1	112	257	146	3.40.710.10	0.4178	0.226	0.3562	90.68	30.05	0.9041	0.8082
P83111	2	279	513	235	3.40.710.10	0.3234	0.1532	0.5234	90.34	27.7	0.9277	0.766
P84085	1	7	180	174	3.40.50.300	0.3506	0.2586	0.3908	87.55	41.81	0.8851	0.5977
P86397	1	22	168	147	3.10.129.10	0.2313	0.3333	0.4354	91.17	34.62	0.8844	0.8639
P99999	1	1	105	105	1.10.760.10	0.3905	0.019	0.5905	97.93	75.75	1.0	0.981
Q00059	1	43	151	109	1.10.30.10	0.8257	0.0	0.1743	96.54	68.69	0.9908	0.9817
Q00059	2	153	219	67	1.10.30.10	0.7313	0.0	0.2687	97.16	94.38	1.0	1.0
Q00325	1	66	340	275	1.50.40.10	0.8327	0.0	0.1673	88.62	67.12	0.9855	0.4436
Q02127	1	32	395	364	3.20.20.70	0.4698	0.1621	0.3681	97.75	85.88	1.0	0.9835
Q02218	1	120	216	97	1.10.287.1150	0.4845	0.0619	0.4536	88.32	64.06	0.9588	0.6186
Q02218	2	877	1017	141	3.40.50.11610	0.3901	0.2199	0.3901	97.07	90.94	1.0	1.0
Q02218	3	607	876	270	3.40.50.12470	0.4074	0.1407	0.4519	97.06	88.19	1.0	0.9926
Q02218	4	217	582	366	3.40.50.970	0.4672	0.1503	0.3825	95.0	64.44	0.9891	0.9044
Q02221	1	13	97	85	4.10.95.10	0.2941	0.0235	0.6824	89.94	46.88	0.8706	0.7882
Q02252	1	285	485	201	3.40.309.10	0.3582	0.1891	0.4527	97.72	92.81	1.0	1.0
Q02252	2	44	493	450	3.40.605.10	0.4244	0.2156	0.36	97.86	91.31	1.0	1.0
Q02318	1	50	530	481	1.10.630.10	0.5509	0.104	0.3451	93.83	44.38	0.9834	0.896
Q02338	1	55	330	276	3.40.50.720	0.5725	0.1196	0.308	95.82	79.88	1.0	0.9239
Q02978	1	21	310	290	1.50.40.10	0.7793	0.0138	0.2069	89.9	54.22	0.9828	0.6138
Q04837	1	17	148	132	2.40.50.140	0.0758	0.4848	0.4394	87.55	39.69	0.8106	0.7045
Q05932	1	39	326	288	3.40.1190.10	0.5069	0.0972	0.3958	91.4	43.69	0.9167	0.7812
Q05932	2	362	584	223	3.90.190.20	0.3677	0.1525	0.4798	78.84	27.69	0.713	0.4978
Q06055	1	68	139	72	1.20.20.10	0.9583	0.0	0.0417	95.38	90.62	1.0	1.0
Q07021	1	74	282	209	3.10.280.10	0.3158	0.2297	0.4545	87.43	32.31	0.866	0.7033
Q07812	1	1	167	167	1.10.437.10	0.6886	0.0	0.3114	85.58	34.0	0.8623	0.6048
Q07817	1	1	209	209	1.10.437.10	0.6029	0.0	0.3971	75.56	37.84	0.6316	0.4258
Q07820	1	170	319	150	1.10.437.10	0.8067	0.0	0.1933	90.7	68.31	0.9933	0.66
Q07973	1	52	514	463	1.10.630.10	0.5551	0.1015	0.3434	94.15	75.5	1.0	0.8553
Q08257	1	129	296	168	3.40.50.720	0.494	0.2024	0.3036	97.46	90.81	1.0	1.0
Q08257	2	15	325	311	3.90.180.10	0.3633	0.2701	0.3666	97.42	84.88	1.0	0.9839
Q08426	1	480	717	238	1.10.1040.50	0.6218	0.0546	0.3235	96.92	83.06	1.0	0.9832
Q08426	2	293	476	184	3.40.50.720	0.4076	0.1957	0.3967	95.01	66.31	0.9674	0.9022
Q08426	3	1	280	280	3.90.226.10	0.5179	0.15	0.3321	94.4	39.5	0.9643	0.925
Q08AE8	1	34	236	203	1.10.510.10	0.4729	0.064	0.4631	81.3	31.2	0.7685	0.5911
Q08AH1	1	470	575	106	3.30.300.30	0.3396	0.3113	0.3491	90.49	57.06	0.9528	0.6509
Q08AH1	2	39	469	431	3.40.50.12780	0.3202	0.2506	0.4292	93.91	58.44	0.9907	0.8538
Q08AH3	1	466	577	112	3.30.300.30	0.375	0.2946	0.3304	88.73	31.31	0.9107	0.6696
Q08AH3	2	34	465	432	3.40.50.12780	0.3079	0.2569	0.4352	96.42	58.38	0.9931	0.9352
Q08J23	1	40	429	390	3.40.50.150	0.4	0.1974	0.4026	93.82	71.0	1.0	0.8359
Q09013	1	155	359	205	1.10.510.10	0.4439	0.0634	0.4927	93.57	65.5	0.9854	0.8439
Q09013	2	458	537	80	1.20.5.340	0.9125	0.0	0.0875	78.95	41.16	0.8	0.225
Q09013	3	19	369	351	3.30.200.20	0.4387	0.1481	0.4131	93.04	65.5	0.9886	0.8063
Q10713	1	57	273	217	3.30.830.10	0.4608	0.1797	0.3594	94.13	47.34	0.9677	0.894
Q10713	2	290	511	222	3.30.830.10	0.4459	0.1892	0.3649	93.64	56.72	0.973	0.8784
Q12849	1	139	236	98	3.30.70.330	0.2857	0.2959	0.4184	79.47	35.34	0.7857	0.1531
Q12849	2	247	335	89	3.30.70.330	0.2697	0.3371	0.3933	83.37	41.78	0.8652	0.2584
Q12849	3	400	480	81	3.30.70.330	0.1975	0.3704	0.4321	88.07	32.12	0.9383	0.5802
Q12887	1	160	330	171	1.10.357.140	0.807	0.0	0.193	96.09	88.0	1.0	0.9825
Q12931	1	566	704	139	1.20.120.790	0.6043	0.0863	0.3094	88.72	51.84	0.9065	0.6403
Q12931	2	296	464	169	3.30.230.80	0.4497	0.2012	0.3491	92.04	64.69	0.9763	0.7396
Q12931	3	82	294	213	3.30.565.10	0.3709	0.2066	0.4225	91.39	57.31	0.9624	0.6526
Q12931	4	465	555	91	3.40.50.11260	0.3736	0.2308	0.3956	95.36	77.56	1.0	0.9011
Q12983	1	159	190	32	6.10.250.1020	0.9688	0.0	0.0312	86.31	57.41	0.9062	0.4688
Q13011	1	266	328	63	1.10.12.10	0.7143	0.0	0.2857	96.99	87.06	1.0	0.9365
Q13011	2	50	265	216	3.90.226.10	0.4769	0.1991	0.3241	97.38	71.25	1.0	0.9491
Q13057	1	357	562	206	3.40.50.300	0.5485	0.1359	0.3155	94.37	33.59	0.9806	0.9126
Q13057	2	195	344	150	3.40.50.620	0.4067	0.22	0.3733	93.22	79.62	1.0	0.82
Q13084	1	87	151	65	2.30.170.40	0.3231	0.4154	0.2615	96.19	91.94	1.0	1.0
Q13085	1	1725	1790	66	2.40.460.10	0.2121	0.4091	0.3788	88.67	73.44	1.0	0.4848
Q13085	2	749	820	72	2.40.50.100	0.0	0.5278	0.4722	83.71	66.25	0.9028	0.25
Q13085	3	290	352	63	3.30.1490.20	0.3492	0.2381	0.4127	85.05	59.16	0.9206	0.2857
Q13085	4	353	617	265	3.30.470.20	0.2906	0.317	0.3925	88.12	71.88	1.0	0.4642
Q13085	5	83	242	160	3.40.50.20	0.425	0.1187	0.4562	84.71	29.91	0.8812	0.5375
Q13085	6	243	289	47	3.90.1770.10	0.4468	0.0426	0.5106	82.34	57.66	0.8298	0.2128
Q13085	7	1576	1903	328	3.90.226.10	0.3628	0.2652	0.372	90.43	64.0	0.9787	0.628
Q13085	8	1907	2315	409	3.90.226.10	0.4988	0.154	0.3472	90.39	49.34	0.9804	0.643
Q13162	1	74	271	198	3.40.30.10	0.3081	0.2475	0.4444	97.28	77.38	1.0	0.9747
Q13232	1	20	169	150	3.30.70.141	0.48	0.16	0.36	96.8	68.0	0.9933	0.9467
Q13268	1	24	277	254	3.40.50.720	0.4646	0.1654	0.3701	94.06	39.47	0.9724	0.8268
Q13405	1	34	166	133	3.30.780.10	0.2556	0.2105	0.5338	93.52	58.03	0.9624	0.8947
Q13423	1	902	1081	180	3.40.50.1220	0.4222	0.1833	0.3944	93.79	66.19	0.9944	0.8667
Q13423	2	60	413	354	3.40.50.720	0.387	0.1836	0.4294	92.53	59.69	0.9774	0.7994
Q13423	3	199	379	181	3.40.50.720	0.3481	0.2099	0.442	91.61	59.69	0.9558	0.7624
Q13472	1	323	447	125	1.10.290.10	0.456	0.016	0.528	96.43	79.06	1.0	0.944
Q13472	2	203	617	415	1.10.460.10	0.441	0.1855	0.3735	96.17	78.5	1.0	0.9494
Q13472	3	263	515	253	2.70.20.10	0.2925	0.2727	0.4348	96.37	78.5	1.0	0.9565
Q13472	4	637	698	62	3.30.65.10	0.0	0.3548	0.6452	80.84	54.94	0.8065	0.0161
Q13472	5	21	196	176	3.40.50.140	0.3864	0.25	0.3636	95.12	63.66	0.9943	0.8864
Q13505	1	292	387	96	1.20.1050.10	0.7292	0.0208	0.25	92.85	66.69	0.9896	0.8333
Q13686	1	114	347	234	2.60.120.590	0.2564	0.2479	0.4957	94.12	53.16	0.9829	0.8675
Q13825	1	280	339	60	1.10.12.10	0.6333	0.0	0.3667	98.55	96.5	1.0	1.0
Q13825	2	68	279	212	3.90.226.10	0.4575	0.2123	0.3302	96.84	42.88	0.9764	0.967
Q13907	1	1	227	227	3.90.79.10	0.2952	0.2996	0.4053	97.11	46.94	0.9868	0.9648
Q14061	1	1	63	63	1.10.287.1130	0.4762	0.0	0.5238	72.21	43.19	0.6032	0.0635
Q14154	1	247	445	199	1.25.40.10	0.7186	0.0	0.2814	90.78	33.84	0.9146	0.8291
Q14197	1	66	205	140	3.30.160.20	0.5071	0.1357	0.3571	91.88	57.28	0.9643	0.8143
Q14249	1	59	287	229	3.40.570.10	0.2838	0.2838	0.4323	95.71	53.34	0.9782	0.917
Q14318	1	219	369	151	1.25.40.10	0.8146	0.0	0.1854	96.22	76.5	1.0	0.9868
Q14318	2	58	205	148	3.10.50.40	0.0811	0.2973	0.6216	82.91	30.0	0.7703	0.6892
Q14596	1	909	959	51	1.10.8.10	0.6667	0.0	0.3333	85.51	32.53	0.902	0.5686
Q14596	2	364	485	122	2.60.40.10	0.0	0.5328	0.4672	90.47	34.0	0.918	0.8361
Q14596	3	3	85	83	3.10.20.90	0.3012	0.3855	0.3133	90.27	74.25	1.0	0.7108
Q14596	4	208	259	52	3.30.60.90	0.0769	0.3654	0.5577	89.67	57.56	0.9615	0.6731
Q14790	1	1	97	97	1.10.533.10	0.6186	0.0206	0.3608	88.96	55.69	0.9897	0.4948
Q14790	2	98	188	91	1.10.533.10	0.7363	0.022	0.2418	83.75	48.16	0.8791	0.1758
Q14790	3	217	479	263	3.40.50.1460	0.2928	0.2053	0.5019	83.45	22.09	0.8251	0.6388
Q15031	1	57	80	24	1.10.730.10	0.6667	0.0	0.3333	85.5	66.75	0.875	0.4583
Q15031	2	620	901	282	1.10.730.10	0.5142	0.1418	0.344	93.68	68.12	0.9929	0.8546
Q15031	3	81	275	195	3.40.50.620	0.4462	0.2462	0.3077	92.44	76.06	1.0	0.7436
Q15031	4	414	605	192	3.40.50.620	0.3281	0.224	0.4479	93.82	54.62	0.9583	0.8698
Q15046	1	73	215	143	2.40.50.140	0.2448	0.3566	0.3986	97.29	80.38	1.0	0.986
Q15046	2	218	595	378	3.30.930.10	0.3783	0.1984	0.4233	94.32	34.59	0.9524	0.9153
Q15118	1	30	214	185	1.20.140.20	0.7081	0.0054	0.2865	89.13	30.83	0.8865	0.7622
Q15118	2	215	399	185	3.30.565.10	0.3351	0.2649	0.4	91.66	35.5	0.9027	0.8649
Q15119	1	15	186	172	1.20.140.20	0.75	0.0058	0.2442	93.45	59.56	0.9767	0.8372
Q15119	2	188	370	183	3.30.565.10	0.3333	0.2678	0.3989	92.25	36.5	0.9071	0.847
Q15120	1	7	182	176	1.20.140.20	0.75	0.0057	0.2443	92.1	39.19	0.9716	0.8011
Q15120	2	184	368	185	3.30.565.10	0.3297	0.2649	0.4054	93.54	44.56	0.9351	0.8757
Q15388	1	51	145	95	1.20.960.10	0.7895	0.0	0.2105	74.64	37.91	0.7053	0.0421
Q15785	1	6	135	130	1.25.40.10	0.8077	0.0	0.1923	93.74	60.69	0.9846	0.8846
Q15785	2	181	309	129	1.25.40.10	0.7752	0.0	0.2248	92.73	48.56	0.9612	0.845
Q16134	1	517	612	96	3.30.70.20	0.2917	0.1979	0.5104	96.92	79.19	1.0	0.9583
Q16134	2	140	516	377	3.30.9.90	0.252	0.2653	0.4828	97.43	64.38	0.9973	0.9761
Q16134	3	67	451	385	3.50.50.60	0.2442	0.3013	0.4545	97.46	64.38	0.9974	0.9766
Q16526	1	304	497	194	1.10.579.10	0.5309	0.0103	0.4588	94.16	30.36	0.9536	0.9021
Q16526	2	130	207	78	1.25.40.80	0.3333	0.0128	0.6538	93.5	76.75	1.0	0.8462
Q16526	3	208	303	96	1.25.40.80	0.6562	0.0	0.3438	91.8	62.88	0.9375	0.75
Q16526	4	1	129	129	3.40.50.620	0.4574	0.2248	0.3178	94.09	47.72	0.938	0.907
Q16540	1	1	153	153	3.30.70.330	0.1961	0.1895	0.6144	92.33	62.0	0.9412	0.7647
Q16548	1	1	151	151	1.10.437.10	0.7285	0.0	0.2715	91.14	57.31	0.9669	0.7351
Q16595	1	82	210	129	3.30.920.10	0.3178	0.2636	0.4186	91.5	46.38	0.9302	0.845
Q16611	1	16	186	171	1.10.437.10	0.7251	0.0	0.2749	86.31	58.03	0.9415	0.4211
Q16654	1	18	189	172	1.20.140.20	0.7326	0.0058	0.2616	92.62	44.09	0.9651	0.8256
Q16654	2	191	374	184	3.30.565.10	0.3315	0.2772	0.3913	92.07	42.0	0.9022	0.8641
Q16698	1	34	335	302	3.40.50.720	0.5331	0.1325	0.3344	95.39	47.72	0.9536	0.9073
Q16740	1	57	261	205	3.90.226.10	0.4146	0.2683	0.3171	94.64	63.88	0.961	0.8293
Q16762	1	2	157	156	3.40.250.10	0.2756	0.1474	0.5769	97.24	38.31	0.9808	0.9744
Q16762	2	158	293	136	3.40.250.10	0.4118	0.1544	0.4338	97.45	63.81	0.9926	0.9706
Q16774	1	1	195	195	3.40.50.300	0.4308	0.2103	0.359	94.38	52.44	0.9897	0.9333
Q16775	1	49	308	260	3.60.15.10	0.3462	0.2538	0.4	98.3	85.19	1.0	0.9962
Q16795	1	48	265	218	3.40.50.720	0.4083	0.211	0.3807	95.65	84.62	1.0	0.9679
Q16798	1	48	302	255	3.40.50.10380	0.5137	0.098	0.3882	96.6	80.31	1.0	0.9412
Q16798	2	303	602	300	3.40.50.720	0.4767	0.1067	0.4167	96.12	80.19	1.0	0.9333
Q16822	1	82	440	359	2.170.8.10	0.2145	0.2953	0.4903	96.64	66.25	0.9972	0.9499
Q16822	2	47	285	239	3.40.449.10	0.3556	0.2469	0.3975	96.38	66.25	0.9958	0.9498
Q16822	3	286	636	351	3.90.228.20	0.265	0.2422	0.4929	96.83	73.94	1.0	0.943
Q16836	1	218	314	97	1.10.1040.10	0.6701	0.0309	0.299	97.94	85.25	1.0	0.9897
Q16836	2	13	217	205	3.40.50.720	0.4585	0.1902	0.3512	96.74	73.75	1.0	0.9317
Q16854	1	37	277	241	3.40.50.300	0.5436	0.1245	0.332	93.42	45.09	0.9627	0.8465
Q16881	1	519	649	131	3.30.390.30							
Q16881	2	52	157	106	3.40.30.10							
Q16881	3	163	504	342	3.50.50.60							
Q16881	4	324	449	126	3.50.50.60							
Q32NB8	1	94	310	217	3.30.870.10	0.447	0.212	0.341	94.62	57.78	0.9677	0.8756
Q32NB8	2	320	555	236	3.30.870.10	0.4619	0.2373	0.3008	91.09	44.38	0.9153	0.7924
Q32P41	1	182	259	78	3.30.300.110	0.3205	0.2564	0.4231	89.21	60.69	0.9231	0.7051
Q32P41	2	261	469	209	3.40.50.150	0.3636	0.2775	0.3589	94.16	60.03	0.9522	0.8708
Q330K2	1	57	309	253	1.10.600.10	0.7708	0.0	0.2292	97.47	88.81	1.0	0.9921
Q3KQZ1	1	1	299	299	1.50.40.10	0.7425	0.0134	0.2441	88.11	61.41	0.9933	0.4147
Q3SXM5	1	61	287	227	3.40.50.720	0.4934	0.1498	0.3568	95.18	69.25	0.9912	0.9207
Q3SY17	1	31	297	267	1.50.40.10	0.8202	0.0	0.1798	85.44	58.44	0.9064	0.2921
Q3SY69	1	339	419	81	1.10.1200.10	0.6173	0.0247	0.358	84.67	52.78	0.9753	0.2963
Q3SY69	2	228	328	101	3.10.25.10	0.1881	0.3564	0.4554	89.96	69.62	0.9901	0.604
Q3SY69	3	697	888	192	3.40.309.10	0.3698	0.1927	0.4375	98.54	95.81	1.0	1.0
Q3SY69	4	23	227	205	3.40.50.170	0.322	0.239	0.439	93.29	74.56	1.0	0.8341
Q3SY69	5	446	918	473	3.40.605.10	0.408	0.203	0.389	98.07	81.5	1.0	0.9852
Q3ZCQ8	1	133	317	185	3.40.50.1000	0.3784	0.2324	0.3892	92.4	79.88	1.0	0.8432
Q46851	1	15	346	332	3.20.20.100	0.4548	0.1416	0.4036	96.0	77.06	1.0	0.8886
Q49AM1	1	140	371	232	1.25.70.10	0.7716	0.0	0.2284	92.09	61.94	0.9914	0.7931
Q4G0N4	1	237	427	191	2.60.200.30	0.2565	0.3089	0.4346	89.26	45.56	0.8691	0.7592
Q4G0N4	2	68	236	169	3.40.50.10330	0.4379	0.1953	0.3669	94.85	78.88	1.0	0.8462
Q4G176	1	473	575	103	3.30.300.30	0.233	0.3398	0.4272	84.45	52.59	0.8738	0.4078
Q4G176	2	48	471	424	3.40.50.12780	0.3632	0.2642	0.3726	91.73	44.31	0.9505	0.809
Q4J6C6	1	109	432	324	2.130.10.120	0.0309	0.5556	0.4136	90.53	27.08	0.9537	0.7253
Q4J6C6	2	85	698	614	3.40.50.1820	0.1987	0.3779	0.4235	89.98	23.61	0.9202	0.7345
Q53FZ2	1	479	584	106	3.30.300.30	0.3585	0.3113	0.3302	90.67	48.41	0.9528	0.6698
Q53FZ2	2	50	478	429	3.40.50.12780	0.2984	0.2354	0.4662	94.97	60.88	0.9953	0.8881
Q53H12	1	52	190	139	3.40.50.10330	0.4317	0.1942	0.3741	92.04	80.38	1.0	0.7122
Q53H82	1	205	288	84	1.10.10.10	0.631	0.0833	0.2857	94.22	67.0	0.9881	0.9048
Q53H82	2	1	204	204	3.60.15.10	0.201	0.3039	0.4951	96.39	47.62	0.9902	0.9314
Q53S33	1	27	107	81	3.30.300.90	0.3827	0.284	0.3333	87.81	60.44	0.963	0.5926
Q5EBM0	1	248	448	201	3.40.50.300	0.5373	0.1343	0.3284	93.4	52.78	0.9751	0.8308
Q5H9E4	1	29	306	278	1.50.40.10	0.8129	0.0	0.1871	90.61	60.47	0.9748	0.6403
Q5HYK3	1	74	327	254	3.40.50.150	0.5315	0.1969	0.2717	90.87	55.28	0.9409	0.626
Q5JPH6	1	432	523	92	1.10.10.350	0.7174	0.0	0.2826	89.16	53.97	0.9457	0.6413
Q5JPH6	2	30	362	333	3.40.50.620	0.4354	0.1441	0.4204	92.86	53.19	0.961	0.8318
Q5JRX3	1	24	293	270	3.30.830.10	0.3741	0.2407	0.3852	96.26	27.81	0.9741	0.963
